"ano";"idLicitacao";"numItem";"numSubitem";"descricao";"especificacao";"unidade";"qtdLicitada";"vlrUnitarioEstimado";"qtdContratada";"vlrUnitarioContratado";"vlrTotalContratado";"fornecedorCpfCnpj";"fornecedorNome";"uriContrato";"numContrato";"anoContrato";"tipoContrato";"situacaoItem";"observacoes";"naturezaDespesa";"programaTrabalho";"codPTRES"
"2023";"18966";"1";"3";"GARANTIA DE FUNCIONAMENTO/SUPORTE TÉCNICO PARA SOFTWARE DE ANÁLISE E DIAGNÓSTICO DE REDES SEM FIO E FUNCIONALIDADES ADICIONAIS";"GARANTIA DE FUNCIONAMENTO/SUPORTE TÉCNICO PARA SOFTWARE DE ANÁLISE E DIAGNÓSTICO DE REDES SEM FIO // CARACTERÍSTICA(S): Serviço equivalente à SUBSCRIÇÃO ANUAL EKAHAU CONNECT. Disponibilizar as funcionalidades a seguir relacionadas. Realizar captura de pacotes 802.11 e salvar em arquivo formato PCAP. Realizar site survey de redes WiFi em dispositivos Android ou Apple IOS. Realizar site survey de redes 802.11 a/b/g/n/ac/ax. Realizar localização automática dos pontos de acesso detectados durante survey. Exibir todos os pontos do survey realizado. Realizar análise do survey com uso de mapas de calor. Realizar análise de rede wifi em dispositivos Android ou Apple IOS: Validar a saúde da rede Wi-Fi através de parâmetros pré-definidos e exibir indicadores de aprovação/rejeição. Exibir níveis de potência dos sinais primário e secundário, para efeito de redundância e roaming. Prover análise de Signal-to-Noise Ratio (SNR). Realizar análise de problemas de interferências de RF e identificar fontes de interferências de forma automática. Realizar teste ativo da rede por meio da monitoração do roaming e do overlap da rede. Identificar canais com sobrecarga e geradores de interferência.  GARANTIA MÍNIMA: Prover 12 meses de garantia e assistência técnica para todos componentes da ferramenta de análise e diagnóstico: dispositivo de captura de sinais de RF e módulos de software de análise e diagnóstico.";"SERVIÇO";"1";"9300";"1";"9300";"9300";"20.061.633/0001-17";"L3 SOFTWARE LTDA-";"";"";"";"";"Ativo";"";"";"PO 0001-ADMINISTRAÇÃO LEGISLATIVA-PROC. LEG., FISC. E REP. POLÍTICA";"167433"
"2023";"18966";"2";"";"MICROCOMPUTADOR PORTÁTIL TIPO NOTEBOOK";"MICROCOMPUTADOR PORTÁTIL TIPO NOTEBOOK // DESCRIÇÃO: COMPUTADOR PORTÁTIL (NOTEBOOK)  CARACTERÍSTICA(S): O processador deverá obter pontuação (score) de desempenho igual ou superior a 10.000 pontos, mensurado por meio do indicador CPU Mark do software PerformanceTest 10. (Https://www.cpubenchmark.net/cpu_list.php).
Memória RAM mínima de 16GB DDR-4 3200 MHz.
A unidade de armazenamento deverá ser do tipo SSD (Solid State Drive) de no mínimo 512 GB do tipo NVMe.
Deverá possuir conectividade: 802.11AX (2:2 Spatial Streams) e Bluetooth 5.0.
Possuir LAN 10/100/1000 Mbps Porta Ethernet (RJ-45) ou por adaptador.
Tela plana widescreen com área mínima de 14 polegadas na diagonal (admitida variação para menos de até 5%) com suporte à resolução de 1920 X 1080.
O sistema operacional deverá ser Windows (64bit) em português ou inglês, na versão 10.
Deverá ter as portas: 1 HDMI, 1 USB Type-C e 1 USB 3.1.
1 combo saída áudio e entrada para microfone (headphone out/mic-in combo).
Deverá possuir alto falante estéreo, câmera WEBCAM HD 720p, no mínimo, e microfone interno.
Deverá possuir dispositivo apontador do tipo touch pad ou click pad.
Deverá ter peso máximo de 2,0 Kg contando com a bateria e disco SSD instalados.
Deverá ter bateria de, no mínimo, 54 Wh com carregador rápido.
O modelo do microcomputador portátil ofertado deverá obedecer aos requisitos estabelecidos na norma IEEE 1680, implementados pelo selo EPEAT(Electronic Product Environmental Assessment Tool), da agência de proteção ambiental(EPA), comprovando que o equipamento cumpre as exigências para controle do impacto ambiental em seu processo de fabricação. 
A comprovação do enquadramento à referida norma poderá ser o registro do modelo do equipamento no site http://www.epeat.net, ou, então, a apresentação de certificado ou relatório de avaliação de conformidade emitido por órgão credenciado pelo INMETRO ou certificado internacional similar(ISSO 14000), ou ainda aos que atendam aos Requisitos de Avaliação da Conformidade para Bens de Informática, aprovados pela Portaria n.170/2012 do Instituto Nacional de Metrologia, Qualidade e Tecnologia(INMETRO), conforme determinado pelo Acórdão n.508/2013–TCU–Plenário, com tradução juramentada.
O modelo do microcomputador portátil ofertado não poderá conter substâncias perigosas como mercúrio(Hg), chumbo(Pb), cromohexavalente(Cr(VI)), cádmio(Cd), bifenilpolibromados(PBBs), éteresdifenil-polibromados(PBDEs) em concentração acima da recomendada na diretiva RoHS(Restriction of Certain Hazardous Substances), sendo que para aceitação do produto deverá ser fornecida certificação emitida por instituição pública oficial ou instituição credenciada, ou por qualquer outro meio de prova que ateste que o equipamento ofertado atende essa exigência.  GARANTIA MÍNIMA: De 12 meses.";"UNIDADE";"1";"13024";"1";"5289";"5289";"05.207.424/0001-45";"VINÍCIUS CHAVES DOS SANTOS";"";"";"";"";"Ativo";"";"MATERIAL PERMANENTE";"PO 0001-ADMINISTRAÇÃO LEGISLATIVA-PROC. LEG., FISC. E REP. POLÍTICA";"167433"
"2023";"18974";"1";"";"PAPELÃO CALANDRADO Nº 15";"PAPELÃO CALANDRADO Nº 15 // MARCA(S) DE REFERÊNCIA: HORLE; PAPELÃO UNIÃO; PENHA.  APLICAÇÃO: para encadernação de livros.  CARACTERÍSTICA(S): isento de impurezas (sem corpos estranhos ou resíduos compactados na massa do papelão); liso; sem qualquer relevo; resistente à flexão; compactado.  MEDIDA(S): 80 cm x 100 cm x 2,50 mm, de largura x comprimento x espessura.  COR(ES):  Cinza.  PRAZO MÍNIMO DE VALIDADE: 12 (doze) meses, contados da data do recebimento definitivo.  ACONDICIONAMENTO: pacote com 25 kg, com identificação e quantidade do material.";"QUILOGRAMA";"50";"19";"50";"19";"990";"67.642.736/0001-34";"SICOLI INDÚSTRIA E COMÉRCIO DE MÁQUINAS LTDA-";"";"";"";"";"Ativo";"";"MATERIAL DE CONSUMO";"PO 0001-ADMINISTRAÇÃO LEGISLATIVA-PROC. LEG., FISC. E REP. POLÍTICA";"167433"
"2023";"18974";"2";"";"COURO CRU";"COURO CRU // MARCA(S) DE REFERÊNCIA:  CURTUME SÃO MARCOS; CURTUME RUSAN; BRASCOUROS  APLICAÇÃO: Para restauração de livros e documentos.  CARACTERÍSTICA(S):  couro cru de animal, curtido, para encadernação. Apresenta textura macia e resistente. Espessura entre 1,4 a 1,6 milímetros.  COR(ES):  Cru (natural)  FORMA DE APRESENTAÇÃO:  Pele com aproximadamente 1,00 m².  ACONDICIONAMENTO:   Embalagem original de fábrica, com identificação e quantidade do material.";"METRO QUADRADO";"50";"740";"50";"372";"18606";"27.363.204/0001-43";"I G DOS SANTOS DE OLIVEIRA LTDA-";"";"";"";"";"Ativo";"";"MATERIAL DE CONSUMO";"PO 0001-ADMINISTRAÇÃO LEGISLATIVA-PROC. LEG., FISC. E REP. POLÍTICA";"167433"
"2023";"18974";"3";"";"ÁLCOOL ETÍLICO PA";"ÁLCOOL ETÍLICO PA // MARCA(S) DE REFERÊNCIA: DINÂMICA; ISOFAR; CROMOLINE.  APLICAÇÃO: utilizado durante a retirada de adesivos, manchas e outras intervenções.  CARACTERÍSTICA(S): CAS: 64-17-5, com teor de CH3CH2OH por volume máximo de 99,8% e com os seguintes limites máximos de impurezas: acetona 0,001%; álcool isopropílico 0,003%; metanol 0,1%; água 0,20%; acidez 0,0005% meq/g e alcalinidade 0,0002% meq/g.  FORMA DE APRESENTAÇÃO: frasco com 1 L.  PRAZO MÍNIMO DE VALIDADE: 12 (doze) meses, contados da data do recebimento definitivo.  ACONDICIONAMENTO: embalagem original de fábrica, com identificação e quantidade do material.";"LITRO";"24";"49";"";"";"";"";"";"";"";"";"";"Destacado";"ITEM DESTACADO: Deserto";"";"";""
"2023";"18974";"4";"";"BORRACHA PARA DESENHO TIPO TK-PLAST";"BORRACHA PARA DESENHO TIPO TK-PLAST // MARCA(S) DE REFERÊNCIA: FABER-CASTEL; BIC; LEO E LEO/LEONORA.  MATERIAL(IS): vinil.  MEDIDA(S): 1,5 cm x 4,5 cm x 2,5 cm, de altura x largura x comprimento (medidas aproximadas).  ACONDICIONAMENTO: embalagem original de fábrica, com identificação e quantidade do material.";"UNIDADE";"20";"7";"";"";"";"";"";"";"";"";"";"Destacado";"ITEM DESTACADO: Deserto";"";"";""
"2023";"18974";"5";"";"VENTOSA DE 3 PONTAS PARA VIDROS - 100KG";"VENTOSA DE 3 PONTAS PARA VIDROS - 100KG // MARCA(S) DE REFERÊNCIA: Lee Tools, MTX, Vonder. 

  APLICAÇÃO: Indicado para serviços mais pesados de transporte e manuseio de vidros e outros objetos. 
  CARACTERÍSTICA(S): Ventosa em 3 pontas (tripla), para capacidade de carga mínima de 100 Kg, com alavanca para ativar as ventosas e realizar o travamento do vidro. Ventosas em borracha com sistema de sucção. 
  ACONDICIONAMENTO: Embalagem original de fábrica, com identificação e quantidade do material";"PEÇA";"2";"97";"2";"97";"194";"45.769.285/0001-68";"REDNOV FERRAMENTAS LTDA-";"";"";"";"";"Ativo";"";"MATERIAL DE CONSUMO";"PO 0001-ADMINISTRAÇÃO LEGISLATIVA-PROC. LEG., FISC. E REP. POLÍTICA";"167433"
"2023";"18974";"6";"";"LÂMINA DE 18 MM PARA ESTILETE";"LÂMINA DE 18 MM PARA ESTILETE // MARCA(S) DE REFERÊNCIA:  VONDER; MAPPED; WURTH.  APLICAÇÃO: para estilete largo.  MEDIDA(S): 18 mm x 100 mm x 0,55 mm, de largura x comprimento x espessura.  FORMA DE APRESENTAÇÃO: pacote com 10 lâminas.  ACONDICIONAMENTO: embalagem original de fábrica, com identificação e quantidade de material.";"PACOTE";"30";"31";"30";"9";"293";"42.240.841/0001-16";"FOX STORE LTDA-";"";"";"";"";"Ativo";"";"MATERIAL DE CONSUMO";"PO 0001-ADMINISTRAÇÃO LEGISLATIVA-PROC. LEG., FISC. E REP. POLÍTICA";"167433"
"2023";"18974";"7";"";"COLA PVA BRANCA PARA ENCADERNAÇÃO DE LIVROS";"COLA PVA BRANCA PARA ENCADERNAÇÃO DE LIVROS // MARCA(S) DE REFERÊNCIA: ADELBRAS; RICLA; HENKEL LOCTITE ADESIVOS LTDA/A-4579  CARACTERÍSTICA(S): forte pega inicial e secagem rápida; filme seco flexível e excelente adesão a papéis, cartões, tecidos e espumas flexíveis de poliuretano; dispersão aquosa de resinas sintéticas de média viscosidade; aspecto líquido.  FORMA DE APRESENTAÇÃO: barrica com 10 kg de produto; em sacos de polietileno.  PRAZO MÍNIMO DE VALIDADE: 12 (doze) meses, contados da data do recebimento definitivo.  ACONDICIONAMENTO: embalagem original de fábrica, com identificação e quantidade do material.";"QUILOGRAMA";"30";"12";"";"";"";"";"";"";"";"";"";"Destacado";"ITEM DESTACADO: Preços acima do estimado.";"";"";""
"2023";"18974";"8";"";"LÁPIS 6B";"LÁPIS 6B // MARCA(S) DE REFERÊNCIA: FABER CASTELL; LEO E LEO/LEONORA; BIC.  CARACTERÍSTICA(S): 
- corpo sextavado com mina de massa na cor preta centralizada ao longo de toda a extensão;
- envernizado.  MATERIAL(IS): madeira e massa.  MEDIDA(S): 8 mm x 175 mm, de diâmetro inscrito x comprimento (medidas aproximadas).  ACONDICIONAMENTO: embalagem original de fábrica e/ou adequada, com identificação e quantidade do material.";"UNIDADE";"100";"6";"";"";"";"";"";"";"";"";"";"Destacado";"ITEM DESTACADO: Deserto";"";"";""
"2023";"18974";"9";"";"METIL-CELULOSE";"METIL-CELULOSE // MARCA(S) DE REFERÊNCIA: Lineco, Talas,   APLICAÇÃO: utilizado na fabricação de géis.  CARACTERÍSTICA(S): pó branco, inodoro, [C6H7O2(OH)X(OCH3)Y], CAS: 9004-67-5, média viscosidade, solúvel em água, ph 7.0, livre de ácidos, atóxica e reversível.  PRAZO MÍNIMO DE VALIDADE: 12 (doze) meses, contados da data do recebimento definitivo.  ACONDICIONAMENTO:  embalagem original de fábrica, com identificação e quantidade do material.";"QUILOGRAMA";"2";"2629";"";"";"";"";"";"";"";"";"";"Destacado";"ITEM DESTACADO: Deserto";"";"";""
"2023";"18974";"10";"";"DESUMIDIFICADOR - PARTICIPAÇÃO ABERTA - VINCULADO AO ITEM 11";"DESUMIDIFICADOR // MARCA/MODELO: Marca: Arsec; Modelo: 510/BR  APLICAÇÃO:  desumidificador de ar.  CARACTERÍSTICA(S): portátil, para montagem direta dentro do ambiente; - gabinete com pintura epóxi ou em plástico reforçado; - resistente a intempéries; - compressor hermético; - reservatório para coleta de água condensada com capacidade mínima de 3 (três) litros, com dreno; - desligamento automático do desumidificador quando o reservatório atingir o nível máximo; - indicação luminosa (lâmpada piloto) ou sonora indicativa de reservatório cheio; - chave liga/desliga sem alterar a regulagem do umidostato; - controlador de umidade (umidostato) automático incorporado ao equipamento, com faixa de operação aproximada entre 40% e 60% de umidade relativa; - funcionamento totalmente automático, ligando e desligando a desumidificação para manter a umidade relativa no nível selecionado no painel; - faixa de temperatura de operação de pelo menos 17 °C a 30 °C, admitindo-se temperatura máxima superior a 30 °C e mínima inferior a 17 °C; - dotado de 4 (quatro) rodízios para transporte; - gás refrigerante ecológico (isento de CFC); - para ambientes de volume de no mínimo 450 m³; - desumidificação mínima de 30 (trinta) litros/dia (a 30 °C e 80% de UR); - circulação de ar mínima de 1000 m³/h.
  MATERIAL(IS): estrutura interna em alumínio; gabinete em chapa metálica com pintura epóxi ou em plástico reforçado.  MEDIDA(S): aproximadas de 680 mm x 376 mm x 302, de altura x largura x profundidade. Admite-se uma variação para mais ou para menos de 20% (vinte por cento) em cada dimensão  COR(ES):  clara, preferencialmente branca.  POTÊNCIA:  mínima de 780 w.  TENSÃO/FREQUÊNCIA: 220V / 60Hz; monofásico; com tomada compatível com normas brasileiras.  GARANTIA MÍNIMA:     • 12 (doze) meses, a contar da data da aceitação definitiva.    ACONDICIONAMENTO:     • Embalagem original de fábrica, com identificação e quantidade do material.";"UNIDADE";"9";"8600";"9";"4220";"37980";"40.738.393/0001-50";"LICITACOES DO BRASIL LTDA-";"";"";"";"";"Ativo";"";"MATERIAL PERMANENTE";"PO 0001-ADMINISTRAÇÃO LEGISLATIVA-PROC. LEG., FISC. E REP. POLÍTICA";"167433"
